article_id,pmid,title_en,title_ja,username,decision,comment,flag_cause,flag_treatment,cat_physical,cat_brain,cat_psycho,cat_drug,direction_gpt,direction_gemini,condition_list_gpt,condition_list_gemini,year
8,37551136,Patient-reported outcomes in older breast cancer survivors with and without prior chemotherapy treatment,化学療法歴の有無による高齢乳がん生存者の患者報告アウトカム,kobayashi,1,,0,0,0,0,0,1,1,1,高齢乳癌サバイバー; 乳癌に対する化学療法後遺症,乳がん（化学療法後）,2023
9,40611851,The Impact of eBook Clubs on Apathy Among Long Term Care Residents: A Pilot Study,電子書籍クラブが長期療養施設入居者の無気力に与える影響：パイロット研究,baba,2,,0,1,0,0,1,0,1,2,長期療養施設入所高齢者,長期療養施設入居,2025
9,40611851,The Impact of eBook Clubs on Apathy Among Long Term Care Residents: A Pilot Study,電子書籍クラブが長期療養施設入居者の無気力に与える影響：パイロット研究,kobayashi,1,,0,0,0,0,1,0,1,2,長期療養施設入所高齢者,長期療養施設入居,2025
10,39195952,Investigating the Prevalence and Predictors of Apathy among the Canadian Long-Term Care Residents: A Secondary Data Analysis,カナダ長期療養施設入居者における無気力の有病率と予測因子の調査：二次データ分析,baba,2,,0,1,0,0,1,0,1,1,長期介護施設入所高齢者,長期介護施設入居,2024
10,39195952,Investigating the Prevalence and Predictors of Apathy among the Canadian Long-Term Care Residents: A Secondary Data Analysis,カナダ長期療養施設入居者における無気力の有病率と予測因子の調査：二次データ分析,kobayashi,2,,0,0,0,0,1,0,1,1,長期介護施設入所高齢者,長期介護施設入居,2024
11,39540250,The prevalence and risk factors of apathy among the Canadian long-term care residents with Alzheimer's disease and related dementias,アルツハイマー病および関連認知症を有するカナダの長期療養施設入居者における無気力の有病率と危険因子,baba,2,,0,0,0,1,0,0,1,1,アルツハイマー病; 関連認知症; 長期療養施設入所高齢者,アルツハイマー病および関連認知症,2024
11,39540250,The prevalence and risk factors of apathy among the Canadian long-term care residents with Alzheimer's disease and related dementias,アルツハイマー病および関連認知症を有するカナダの長期療養施設入居者における無気力の有病率と危険因子,kobayashi,2,,0,0,1,1,0,1,1,1,アルツハイマー病; 関連認知症; 長期療養施設入所高齢者,アルツハイマー病および関連認知症,2024
12,37066911,Fortasyn Connect Improves Neuropsychiatric Symptoms in Patients with Mild Cognitive Impairment and Dementia: Results from a Retrospective Real-World Study,フォータシン・コネクトは軽度認知障害および認知症患者の神経精神症状を改善する：実臨床後方視的研究の結果,baba,1,,0,0,0,0,0,0,1,2,軽度認知障害; 認知症（主にアルツハイマー型認知症）,軽度認知障害 (MCI)・認知症,2023
12,37066911,Fortasyn Connect Improves Neuropsychiatric Symptoms in Patients with Mild Cognitive Impairment and Dementia: Results from a Retrospective Real-World Study,フォータシン・コネクトは軽度認知障害および認知症患者の神経精神症状を改善する：実臨床後方視的研究の結果,kobayashi,1,,0,0,0,0,0,1,1,2,軽度認知障害; 認知症（主にアルツハイマー型認知症）,軽度認知障害 (MCI)・認知症,2023
13,33716830,"Depression in Alzheimer's Disease: A Delphi Consensus on Etiology, Risk Factors, and Clinical Management",アルツハイマー病におけるうつ病：病因、危険因子、臨床管理に関するデルファイ法による合意形成,baba,1,,0,1,0,0,1,0,1,1,アルツハイマー型認知症; アルツハイマー病に合併するうつ病,アルツハイマー病、うつ病,2021
13,33716830,"Depression in Alzheimer's Disease: A Delphi Consensus on Etiology, Risk Factors, and Clinical Management",アルツハイマー病におけるうつ病：病因、危険因子、臨床管理に関するデルファイ法による合意形成,kobayashi,1,,0,0,0,1,0,0,1,1,アルツハイマー型認知症; アルツハイマー病に合併するうつ病,アルツハイマー病、うつ病,2021
14,33628415,"Focus on Depression in Parkinson's Disease: A Delphi Consensus of Experts in Psychiatry, Neurology, and Geriatrics",パーキンソン病におけるうつ病に焦点を当てた研究：精神医学、神経学、老年医学の専門家によるデルファイ法による合意形成,baba,1,,0,1,0,1,0,0,1,1,パーキンソン病; パーキンソン病に合併するうつ病,パーキンソン病,2021
14,33628415,"Focus on Depression in Parkinson's Disease: A Delphi Consensus of Experts in Psychiatry, Neurology, and Geriatrics",パーキンソン病におけるうつ病に焦点を当てた研究：精神医学、神経学、老年医学の専門家によるデルファイ法による合意形成,kobayashi,1,,0,0,0,1,0,0,1,1,パーキンソン病; パーキンソン病に合併するうつ病,パーキンソン病,2021
15,23871117,A novel rating scale for the measurement of apathy in institutionalized persons with dementia: the APADEM-NH,施設入所認知症患者における無気力測定のための新規評価尺度：APADEM-NH,baba,0,,0,0,0,0,0,0,1,1,アルツハイマー型認知症; 血管性認知症; レビー小体型認知症; パーキンソン病認知症; 施設入所認知症高齢者,認知症,2015
15,23871117,A novel rating scale for the measurement of apathy in institutionalized persons with dementia: the APADEM-NH,施設入所認知症患者における無気力測定のための新規評価尺度：APADEM-NH,kobayashi,2,,0,0,0,1,0,0,1,1,アルツハイマー型認知症; 血管性認知症; レビー小体型認知症; パーキンソン病認知症; 施設入所認知症高齢者,認知症,2015
16,27428560,Structural correlates of apathy in Alzheimer's disease: a multimodal MRI study,アルツハイマー病における無気力の構造的相関：マルチモーダルMRI研究,baba,0,,0,0,0,0,0,0,1,1,アルツハイマー型認知症,アルツハイマー病,2017
16,27428560,Structural correlates of apathy in Alzheimer's disease: a multimodal MRI study,アルツハイマー病における無気力の構造的相関：マルチモーダルMRI研究,kobayashi,2,,0,0,0,1,0,0,1,1,アルツハイマー型認知症,アルツハイマー病,2017
17,29793192,How did older adults respond to challenges after an earthquake? Results from a qualitative study in Iran,高齢者は地震後の課題にどのように対応したか？イランにおける定性的研究の結果,baba,0,,0,0,0,0,0,0,4,1,地震後の高齢被災者; 自然災害後ストレス反応,災害（地震）,2018
17,29793192,How did older adults respond to challenges after an earthquake? Results from a qualitative study in Iran,高齢者は地震後の課題にどのように対応したか？イランにおける定性的研究の結果,kobayashi,0,,0,0,0,0,0,0,4,1,地震後の高齢被災者; 自然災害後ストレス反応,災害（地震）,2018
18,32320973,Pronounced Impairment of Activities of Daily Living in Posterior Cortical Atrophy,後部皮質萎縮における日常生活動作の著しい障害,baba,0,,0,0,0,0,0,0,1,2,後部皮質萎縮症; アルツハイマー型認知症,後部皮質萎縮症、アルツハイマー病,2020
18,32320973,Pronounced Impairment of Activities of Daily Living in Posterior Cortical Atrophy,後部皮質萎縮における日常生活動作の著しい障害,kobayashi,0,,0,0,0,1,0,0,1,2,後部皮質萎縮症; アルツハイマー型認知症,後部皮質萎縮症、アルツハイマー病,2020
19,40123132,[Asthenia in the acute period of ischemic stroke],[虚脱症：虚血性脳卒中急性期における],baba,1,post-stroke asthenia (PSA)は一般的な概念か？,0,0,0,1,0,0,1,1,急性期虚血性脳卒中; ポストストロークアステニア,脳卒中,2025
19,40123132,[Asthenia in the acute period of ischemic stroke],[虚脱症：虚血性脳卒中急性期における],kobayashi,2,,0,0,0,1,0,0,1,1,急性期虚血性脳卒中; ポストストロークアステニア,脳卒中,2025
20,30834978,Non-motor symptoms in Huntington's disease: a comparative study with Parkinson's disease,ハンチントン病における非運動症状：パーキンソン病との比較研究,baba,2,,0,0,0,1,0,0,1,1,ハンチントン病; パーキンソン病,ハンチントン病、パーキンソン病,2019
20,30834978,Non-motor symptoms in Huntington's disease: a comparative study with Parkinson's disease,ハンチントン病における非運動症状：パーキンソン病との比較研究,kobayashi,2,,0,0,0,1,0,0,1,1,ハンチントン病; パーキンソン病,ハンチントン病、パーキンソン病,2019
21,29292530,Apathy in idiopathic normal pressure hydrocephalus: A marker of reversible gait disorders,特発性正常圧水頭症における無関心：可逆性歩行障害のマーカー,baba,2,,0,1,0,1,0,0,1,1,特発性正常圧水頭症,特発性正常圧水頭症,2018
21,29292530,Apathy in idiopathic normal pressure hydrocephalus: A marker of reversible gait disorders,特発性正常圧水頭症における無関心：可逆性歩行障害のマーカー,kobayashi,1,,0,0,0,1,0,0,1,1,特発性正常圧水頭症,特発性正常圧水頭症,2018
22,27965058,Apathy and higher level of gait control in normal pressure hydrocephalus,正常圧水頭症における無関心と高次歩行制御,baba,2,,0,0,0,1,0,0,1,2,特発性正常圧水頭症疑い,特発性正常圧水頭症,2017
22,27965058,Apathy and higher level of gait control in normal pressure hydrocephalus,正常圧水頭症における無関心と高次歩行制御,kobayashi,1,,0,0,0,1,0,0,1,2,特発性正常圧水頭症疑い,特発性正常圧水頭症,2017
23,34821521,Relationship Between Personality Measures and Perceived Mental Fatigability,性格測定と知覚的精神的疲労感との関連性,baba,1,,0,0,0,0,1,0,1,1,高齢男性; 高齢者の精神的疲労感,加齢,2022
23,34821521,Relationship Between Personality Measures and Perceived Mental Fatigability,性格測定と知覚的精神的疲労感との関連性,kobayashi,1,,0,0,0,0,0,0,1,1,高齢男性; 高齢者の精神的疲労感,加齢,2022
24,26329729,"Diagnosis, medication, and surgical management for patients with trigeminal neuralgia: a qualitative study",三叉神経痛患者の診断、薬物療法、外科的治療：質的研究,baba,1,,0,1,1,0,0,0,4,4,三叉神経痛,三叉神経痛,2015
24,26329729,"Diagnosis, medication, and surgical management for patients with trigeminal neuralgia: a qualitative study",三叉神経痛患者の診断、薬物療法、外科的治療：質的研究,kobayashi,1,,0,0,1,0,0,0,4,4,三叉神経痛,三叉神経痛,2015
25,27480263,Patient Profile of Drop-Outs From a Pulmonary Rehabilitation Program,肺リハビリテーションプログラムからの脱落患者の特徴,baba,0,,0,0,0,0,0,0,2,1,慢性閉塞性肺疾患; 呼吸リハビリテーション参加中のCOPD患者,COPD（慢性閉塞性肺疾患）,2017
25,27480263,Patient Profile of Drop-Outs From a Pulmonary Rehabilitation Program,肺リハビリテーションプログラムからの脱落患者の特徴,kobayashi,0,,0,0,0,0,0,0,2,1,慢性閉塞性肺疾患; 呼吸リハビリテーション参加中のCOPD患者,COPD（慢性閉塞性肺疾患）,2017
26,24200595,Association of depression with sexual and daily activities: a community study of octogenarian men,うつ病と性活動・日常生活活動との関連性：80代男性を対象とした地域研究,baba,1,,0,1,0,0,1,0,1,1,高齢者うつ病; サブスレッショルドうつ病,うつ病,2015
26,24200595,Association of depression with sexual and daily activities: a community study of octogenarian men,うつ病と性活動・日常生活活動との関連性：80代男性を対象とした地域研究,kobayashi,1,,0,0,0,0,0,0,1,1,高齢者うつ病; サブスレッショルドうつ病,うつ病,2015
27,27345168,Motivational Shifts in Aging Monkeys and the Origins of Social Selectivity,加齢に伴うサルにおける動機付けの変化と社会的選択性の起源,baba,0,,0,0,0,0,0,0,1,1,nan,加齢,2016
27,27345168,Motivational Shifts in Aging Monkeys and the Origins of Social Selectivity,加齢に伴うサルにおける動機付けの変化と社会的選択性の起源,kobayashi,0,,0,0,0,0,0,0,1,1,nan,加齢,2016
28,28926003,Age of first exposure to American football and long-term neuropsychiatric and cognitive outcomes,アメリカンフットボールへの初接触年齢と長期的な神経精神・認知機能アウトカム,baba,0,,0,0,0,0,0,0,1,1,反復頭部外傷歴を有する元アメリカンフットボール選手,アメリカンフットボール歴（頭部外傷）,2017
28,28926003,Age of first exposure to American football and long-term neuropsychiatric and cognitive outcomes,アメリカンフットボールへの初接触年齢と長期的な神経精神・認知機能アウトカム,kobayashi,0,,0,0,0,0,0,0,1,1,反復頭部外傷歴を有する元アメリカンフットボール選手,アメリカンフットボール歴（頭部外傷）,2017
29,38317248,"Cognitive, functional, and neuropsychiatric correlates of regional tau pathology in autopsy-confirmed chronic traumatic encephalopathy",剖検で確認された慢性外傷性脳症における局所タウ病変の認知機能、機能、神経精神医学的相関,baba,0,,0,0,0,0,0,0,1,1,慢性外傷性脳症（CTE）,慢性外傷性脳症（CTE）,2024
29,38317248,"Cognitive, functional, and neuropsychiatric correlates of regional tau pathology in autopsy-confirmed chronic traumatic encephalopathy",剖検で確認された慢性外傷性脳症における局所タウ病変の認知機能、機能、神経精神医学的相関,kobayashi,0,,0,0,0,0,0,0,1,1,慢性外傷性脳症（CTE）,慢性外傷性脳症（CTE）,2024
30,29728937,Psychometric properties of the Italian version of the Cognitive Reserve Scale (I-CRS),イタリア語版認知予備力尺度（I-CRS）の心理測定特性,baba,0,,0,0,0,0,0,0,1,1,一般成人におけるアパシー（健常成人集団）,全般（健常者における加齢）,2018
30,29728937,Psychometric properties of the Italian version of the Cognitive Reserve Scale (I-CRS),イタリア語版認知予備力尺度（I-CRS）の心理測定特性,kobayashi,0,,0,0,0,1,0,0,1,1,一般成人におけるアパシー（健常成人集団）,全般（健常者における加齢）,2018
31,31495773,The Relationships Between Cognitive Reserve and Psychological Symptoms: A Cross-Sectional Study in Healthy Individuals,認知予備力と心理的症状の関係：健常者を対象とした横断研究,baba,0,,0,1,0,0,0,0,1,1,健常成人（低認知予備能）,健常者,2020
31,31495773,The Relationships Between Cognitive Reserve and Psychological Symptoms: A Cross-Sectional Study in Healthy Individuals,認知予備力と心理的症状の関係：健常者を対象とした横断研究,kobayashi,2,,0,0,0,1,0,0,1,1,健常成人（低認知予備能）,健常者,2020
32,34864668,A Comparison of Behavioral and Psychological Symptoms of Dementia (BPSD) and BPSD Sub-Syndromes in Early-Onset and Late-Onset Alzheimer's Disease,若年性および老年性アルツハイマー病における認知症行動心理症状（BPSD）およびBPSDサブ症候群の比較,baba,1,,0,0,0,1,0,0,1,1,早発アルツハイマー型認知症; 晩発アルツハイマー型認知症,アルツハイマー病,2022
32,34864668,A Comparison of Behavioral and Psychological Symptoms of Dementia (BPSD) and BPSD Sub-Syndromes in Early-Onset and Late-Onset Alzheimer's Disease,若年性および老年性アルツハイマー病における認知症行動心理症状（BPSD）およびBPSDサブ症候群の比較,kobayashi,2,,0,0,0,1,0,0,1,1,早発アルツハイマー型認知症; 晩発アルツハイマー型認知症,アルツハイマー病,2022
33,26406134,Impact of Neuropsychiatric Symptoms on the Quality of Life of Subjects with Parkinson's Disease,パーキンソン病患者の生活の質に対する神経精神症状の影響,baba,2,,0,0,0,1,0,0,1,2,パーキンソン病,パーキンソン病,2015
33,26406134,Impact of Neuropsychiatric Symptoms on the Quality of Life of Subjects with Parkinson's Disease,パーキンソン病患者の生活の質に対する神経精神症状の影響,kobayashi,2,,0,0,0,1,0,0,1,2,パーキンソン病,パーキンソン病,2015
34,27567885,Apathy in Mild Parkinson's Disease: Neuropsychological and Neuroimaging Evidence,軽度パーキンソン病における無関心：神経心理学的および神経画像学的証拠,baba,0,,0,0,0,0,0,0,1,1,軽症パーキンソン病,パーキンソン病,2016
34,27567885,Apathy in Mild Parkinson's Disease: Neuropsychological and Neuroimaging Evidence,軽度パーキンソン病における無関心：神経心理学的および神経画像学的証拠,kobayashi,2,,0,0,0,1,0,0,1,1,軽症パーキンソン病,パーキンソン病,2016
35,37076567,The neuropsychology of healthy aging: the positive context of the University of the Third Age during the COVID-19 pandemic,健康的な加齢の神経心理学：COVID-19パンデミック下における第三世代大学（U3A）のポジティブな環境,baba,1,,0,0,1,0,0,0,1,1,COVID-19パンデミック下の健常高齢者; パンデミック関連不安・情動調節不全,健常加齢 (Healthy aging),2023
35,37076567,The neuropsychology of healthy aging: the positive context of the University of the Third Age during the COVID-19 pandemic,健康的な加齢の神経心理学：COVID-19パンデミック下における第三世代大学（U3A）のポジティブな環境,kobayashi,2,,0,0,0,0,1,0,1,1,COVID-19パンデミック下の健常高齢者; パンデミック関連不安・情動調節不全,健常加齢 (Healthy aging),2023
36,38155179,A unique neuropsychophysiological approach to objectify emotion (dys)regulation in healthy older adults during the COVID-19 pandemic,COVID-19パンデミック下における健常高齢者の感情（失調）調節を客観化する独自の神経心理生理学的アプローチ,baba,0,,0,0,0,0,0,0,1,1,COVID-19パンデミック下の健常高齢者におけるアパシー・感情調整困難,健常高齢者（COVID-19禍）,2023
36,38155179,A unique neuropsychophysiological approach to objectify emotion (dys)regulation in healthy older adults during the COVID-19 pandemic,COVID-19パンデミック下における健常高齢者の感情（失調）調節を客観化する独自の神経心理生理学的アプローチ,kobayashi,2,,0,0,0,0,1,0,1,1,COVID-19パンデミック下の健常高齢者におけるアパシー・感情調整困難,健常高齢者（COVID-19禍）,2023
37,39250901,"Neuromodulation of Executive Dysfunction in Patients with Acute Stroke Using Transcranial Direct Current Stimulation: Study Protocol for a Triple-Blind, Randomized Sham-Controlled Trial",経頭蓋直流刺激を用いた急性脳卒中患者の実行機能障害に対する神経調節：三重盲検ランダム化偽刺激対照試験のプロトコル,baba,0,,0,0,0,0,0,0,1,1,急性期脳卒中; 亜急性期脳卒中,脳卒中,2024
37,39250901,"Neuromodulation of Executive Dysfunction in Patients with Acute Stroke Using Transcranial Direct Current Stimulation: Study Protocol for a Triple-Blind, Randomized Sham-Controlled Trial",経頭蓋直流刺激を用いた急性脳卒中患者の実行機能障害に対する神経調節：三重盲検ランダム化偽刺激対照試験のプロトコル,kobayashi,0,,0,0,0,1,0,0,1,1,急性期脳卒中; 亜急性期脳卒中,脳卒中,2024
38,40500311,Using difficulty in going out and social participation to assess for risk of hikikomori: nationally representative data from the European health interview survey,外出困難と社会参加の困難さを用いたひきこもりリスク評価：欧州健康調査（EHIS）の全国代表データ,baba,2,,0,0,0,0,1,0,4,4,ひきこもりリスク状態; 社会的引きこもり; 抑うつ症状を伴う精神健康問題,ひきこもりリスク,2025
38,40500311,Using difficulty in going out and social participation to assess for risk of hikikomori: nationally representative data from the European health interview survey,外出困難と社会参加の困難さを用いたひきこもりリスク評価：欧州健康調査（EHIS）の全国代表データ,kobayashi,1,,0,0,0,0,1,0,4,4,ひきこもりリスク状態; 社会的引きこもり; 抑うつ症状を伴う精神健康問題,ひきこもりリスク,2025
39,26572551,Group and individual cognitive therapies in Alzheimer's disease: the ETNA3 randomized trial,アルツハイマー病における集団および個別認知療法：ETNA3無作為化試験,baba,1,,0,1,0,1,0,0,1,1,アルツハイマー病,アルツハイマー病,2016
39,26572551,Group and individual cognitive therapies in Alzheimer's disease: the ETNA3 randomized trial,アルツハイマー病における集団および個別認知療法：ETNA3無作為化試験,kobayashi,2,,0,0,0,1,0,0,1,1,アルツハイマー病,アルツハイマー病,2016
40,41094694,Ten myths of back pain in older adults that can lead to ineffective and harmful care,高齢者における腰痛に関する10の誤解：非効果的で有害なケアにつながる可能性,baba,1,,0,0,0,0,0,0,1,1,高齢者の慢性腰痛,腰痛,2025
40,41094694,Ten myths of back pain in older adults that can lead to ineffective and harmful care,高齢者における腰痛に関する10の誤解：非効果的で有害なケアにつながる可能性,kobayashi,1,,0,0,1,0,0,0,1,1,高齢者の慢性腰痛,腰痛,2025
41,39749399,Impulse Control Disorders and Effort-Based Decision-Making in Parkinson's Disease Patients with Subthalamic Nucleus Deep Brain Stimulation,視床下核深部脳刺激を受けたパーキンソン病患者における衝動制御障害と努力ベースの意思決定,baba,0,,0,0,0,0,0,0,1,1,パーキンソン病; パーキンソン病に対する視床下核深部脳刺激療法施行後,パーキンソン病(PD),2025
41,39749399,Impulse Control Disorders and Effort-Based Decision-Making in Parkinson's Disease Patients with Subthalamic Nucleus Deep Brain Stimulation,視床下核深部脳刺激を受けたパーキンソン病患者における衝動制御障害と努力ベースの意思決定,kobayashi,0,,0,0,0,0,0,0,1,1,パーキンソン病; パーキンソン病に対する視床下核深部脳刺激療法施行後,パーキンソン病(PD),2025
42,39710559,Psychiatric and cognitive symptoms of Parkinson's disease: A life's tale,パーキンソン病の精神症状と認知症状：人生の物語,baba,0,フランス語,0,0,0,0,0,0,1,1,パーキンソン病,パーキンソン病,2025
42,39710559,Psychiatric and cognitive symptoms of Parkinson's disease: A life's tale,パーキンソン病の精神症状と認知症状：人生の物語,kobayashi,2,,0,0,0,1,0,0,1,1,パーキンソン病,パーキンソン病,2025
43,32570436,VIVID: Independent Living of Aging Adults Suffered a Stroke,VIVID：脳卒中を経験した高齢者の自立生活,baba,0,,0,0,0,0,0,0,4,1,脳卒中後うつ病; 脳卒中後高齢者,脳卒中後うつ病,2020
43,32570436,VIVID: Independent Living of Aging Adults Suffered a Stroke,VIVID：脳卒中を経験した高齢者の自立生活,kobayashi,2,,0,0,0,1,0,0,4,1,脳卒中後うつ病; 脳卒中後高齢者,脳卒中後うつ病,2020
44,29604484,Psychiatric and cognitive adverse events: A pooled analysis of three phase III trials of adjunctive eslicarbazepine acetate for partial-onset seizures,精神医学的および認知的不良事象：部分発作に対するエスリカルバゼピン酢酸塩の補助療法に関する3つの第III相試験の統合分析,baba,1,,0,0,0,0,0,0,1,1,難治性部分発作; エスリカルバゼピン投与中のてんかん患者,てんかん治療薬の副作用,2018
44,29604484,Psychiatric and cognitive adverse events: A pooled analysis of three phase III trials of adjunctive eslicarbazepine acetate for partial-onset seizures,精神医学的および認知的不良事象：部分発作に対するエスリカルバゼピン酢酸塩の補助療法に関する3つの第III相試験の統合分析,kobayashi,1,,0,0,0,0,0,1,1,1,難治性部分発作; エスリカルバゼピン投与中のてんかん患者,てんかん治療薬の副作用,2018
45,35120284,Methylphenidate and Other Pharmacologic Treatments for Apathy in Alzheimer's Disease,アルツハイマー病における無気力に対するメチルフェニデートおよびその他の薬物療法,baba,0,,0,0,0,0,0,0,1,1,アルツハイマー病,アルツハイマー病,2022
45,35120284,Methylphenidate and Other Pharmacologic Treatments for Apathy in Alzheimer's Disease,アルツハイマー病における無気力に対するメチルフェニデートおよびその他の薬物療法,kobayashi,2,,0,0,0,0,0,1,1,1,アルツハイマー病,アルツハイマー病,2022
46,32093795,Initial and relapse prodromes in adult patients with episodes of bipolar disorder: A systematic review,双極性障害エピソードを有する成人患者における初期および再発前駆症状：系統的レビュー,baba,0,,0,0,0,0,0,0,1,1,双極性障害,双極性障害,2020
46,32093795,Initial and relapse prodromes in adult patients with episodes of bipolar disorder: A systematic review,双極性障害エピソードを有する成人患者における初期および再発前駆症状：系統的レビュー,kobayashi,0,,0,0,0,0,0,0,1,1,双極性障害,双極性障害,2020
47,39009312,Effects of open-label transdermal nicotine antidepressant augmentation on affective symptoms and executive function in late-life depression,高齢期うつ病における感情症状と実行機能に対する非盲検経皮ニコチン抗うつ薬併用療法の効果,baba,0,,0,0,0,0,0,0,1,2,高齢期うつ病; 高齢者のアパシー・意欲低下,高齢者うつ病,2024
47,39009312,Effects of open-label transdermal nicotine antidepressant augmentation on affective symptoms and executive function in late-life depression,高齢期うつ病における感情症状と実行機能に対する非盲検経皮ニコチン抗うつ薬併用療法の効果,kobayashi,0,,0,0,0,0,0,0,1,2,高齢期うつ病; 高齢者のアパシー・意欲低下,高齢者うつ病,2024
48,30211612,Executive impairment is associated with unawareness of neuropsychiatric symptoms in premanifest and early Huntington's disease,前駆期および初期ハンチントン病における神経精神症状の自覚不足と実行機能障害の関連性,baba,2,,0,0,0,1,0,0,1,1,ハンチントン病（プレマニフェスト; 早期ハンチントン病）,ハンチントン病,2018
48,30211612,Executive impairment is associated with unawareness of neuropsychiatric symptoms in premanifest and early Huntington's disease,前駆期および初期ハンチントン病における神経精神症状の自覚不足と実行機能障害の関連性,kobayashi,1,,0,0,0,1,0,0,1,1,ハンチントン病（プレマニフェスト; 早期ハンチントン病）,ハンチントン病,2018
49,30378268,Association of Alzheimer's genetic loci with mild behavioral impairment,アルツハイマー病関連遺伝子座と軽度行動障害の関連性,baba,0,,0,0,0,0,0,0,1,1,軽度行動障害（MBI）; アルツハイマー病リスク状態,軽度行動障害 (MBI) / アルツハイマー病,2018
